ROI	N51211	N51221	N51231	N51383	N51386	N51404	N51406	N51193	N51136	N51201	N51234	N51241	N51252	N51282	N51390	N51392	N51393	N51133	N51388	N51124	N51130	N51131	N51164	N51182	N51151	N51622	N51620	N51617
1111	0.35970274	0.38166424	0.35920362	0.35121762	0.37517562	0.36669049	0.37201449	0.32825787	0.34722462	0.33557837	0.34689187	0.30579725	0.35271499	0.36136649	0.35338049	0.34306524	0.34589362	0.33241724	0.33690937	0.33225087	0.35238224	0.37284637	0.36436124	0.37733849	0.37367824	0.32526312	0.34972024	0.34988662
1112	0.96763698	0.91755811	0.97079811	0.97695398	0.94334623	0.98876661	0.91423061	1.04816248	0.97595573	0.88777699	0.86747924	0.97612211	0.95366148	1.02486998	0.95965098	0.94800473	0.95715536	0.96530773	0.93951961	1.01505386	0.95299598	0.92155111	0.97429198	0.93585936	0.96031648	0.97645486	0.95349511	0.93086811
1113	1.45910873	1.4366481	1.4672611	1.43698085	1.46543098	1.50902123	1.48888985	1.70234897	1.4040386	1.39505435	1.3674361	1.47807548	1.4559476	1.50735748	1.38041335	1.34381085	1.44247123	1.38723473	1.4399756	1.33466023	1.49338198	1.41385473	1.47757635	1.51900373	1.4918846	1.52881985	1.67456435	1.53896872
1114	2.07586084	2.02561559	1.98402184	2.24273496	1.93544034	2.16453871	2.11129872	2.35853196	1.86739297	1.82297085	1.99849647	1.7121651	1.78487097	1.99966109	1.94475734	2.10198172	2.19614996	1.96821622	2.00016022	1.97004634	1.98784847	1.64877622	2.09582584	2.01280472	2.20064209	2.19465259	2.30762121	2.07436347
1115	1.3694326	1.34031698	1.40237485	1.4020421	1.35029948	1.38224348	1.36710335	1.40503685	1.35063223	1.23067585	1.3421471	1.25663035	1.3554571	1.38557098	1.27925735	1.33066723	1.35845185	1.34780385	1.3760876	1.30138523	1.33316285	1.3062101	1.31502798	1.30787385	1.35429248	1.45478298	1.38640285	1.34713835
1116	5.38705604	5.39787041	5.49702991	5.64160978	5.36110154	5.58620691	5.46009466	6.01445615	5.49303691	4.98442854	5.46225754	5.11836042	5.56407903	5.79384291	5.27042716	5.37108404	5.64294078	5.59485841	5.72013878	5.66989353	5.21851817	5.21302779	5.60317716	5.24280891	5.66506866	5.61166228	5.58886891	5.49752904
1117	0.24873062	0.26719825	0.260876	0.28200562	0.24739962	0.290158	0.25521925	0.28965887	0.23608612	0.22843287	0.25272362	0.25505287	0.2216115	0.25272362	0.22993025	0.27468512	0.278179	0.262207	0.27235587	0.28134012	0.3014715	0.2548865	0.25205812	0.26703187	0.28666412	0.255552	0.28333662	0.23941362
1118	0.50494812	0.54088512	0.51343324	0.49646299	0.52341574	0.51376599	0.49496562	0.53356462	0.47466787	0.46401987	0.47982549	0.46867837	0.49413374	0.53739124	0.46335437	0.48448399	0.47100762	0.46917749	0.49380099	0.41028074	0.52191837	0.53156812	0.55169949	0.49330187	0.49197087	0.53339824	0.50627912	0.51409874
1119	0.91672624	0.87280324	0.65119174	1.16179661	0.84834611	0.77547386	0.87829361	0.84684874	0.85500111	0.80592049	0.75650711	0.93186636	0.87296961	0.92271574	0.88528136	0.86814474	0.86648099	0.90391536	0.86681374	0.98111336	1.08443223	0.85832861	0.90973849	0.78961574	0.88261936	1.09890686	1.26644648	0.98527273
1120	1.30770748	1.27260235	1.29323285	1.23466885	1.31635898	1.23716448	1.30471273	1.51168323	1.2356671	1.17976511	1.25513298	1.14366173	1.14000148	1.27809273	1.19706811	1.21653398	1.2330051	1.2722696	1.3973836	1.10472998	1.3221821	1.32434498	1.28990535	1.34031698	1.24881073	1.46360085	1.40437135	1.43947648
1121	7.61548275	7.68918688	7.68585938	7.475395	7.452768	7.37373988	7.49852113	7.40252275	7.50284688	7.80564937	7.9139595	7.37490451	7.17375713	7.869371	7.62929188	8.69924948	8.04656037	7.559248	8.24388112	6.77196151	7.19838063	7.47972075	7.60100813	7.95156025	7.25894113	8.41341724	7.796166	7.8207895
1122	0.22327525	0.21994775	0.20131375	0.18733825	0.20281112	0.21612112	0.20530675	0.26270612	0.139755	0.14524537	0.15256587	0.141086	0.15522787	0.16803875	0.11945725	0.13126987	0.13027162	0.14890562	0.134431	0.14890562	0.1071455	0.2083015	0.19748712	0.18634	0.18866925	0.18401075	0.17003525	0.19865175
1123	0.49762762	0.47217224	0.47633162	0.46135787	0.49413374	0.44155924	0.47400237	0.56334574	0.49962412	0.45886224	0.52341574	0.42641912	0.45104262	0.53872224	0.46684824	0.50162062	0.50794287	0.50195337	0.52241749	0.46035962	0.48448399	0.45070987	0.49180449	0.46784649	0.45520199	0.53489562	0.53872224	0.50944024
1124	0.45486924	0.49546474	0.52824062	0.53256637	0.55303049	0.50112149	0.51775899	0.60244387	0.49546474	0.50461537	0.57748762	0.53007074	0.47699712	0.57099899	0.52408124	0.72256661	0.57116537	0.49380099	0.58231249	0.54487812	0.54155062	0.53888862	0.58630549	0.40761874	0.50145424	0.54737374	0.57898499	0.54238249
1125	0.59978187	0.56700599	0.57565749	0.59113037	0.59894999	0.59845087	0.55253137	0.72040374	0.64686599	0.59578887	0.50711099	0.61425649	0.56434399	0.56401124	0.55452787	0.63106036	0.63189224	0.58780287	0.54970299	0.63821449	0.62057874	0.60527224	0.57549112	0.57465924	0.58430899	0.68346849	0.53822312	0.66283799
1126	0.051909	0.04774962	0.05473737	0.04625225	0.05174262	0.0512435	0.05473737	0.0925045	0.04109462	0.04425575	0.04891425	0.03227675	0.04092825	0.0485815	0.04209287	0.04841512	0.04758325	0.0419265	0.05174262	0.05224175	0.029282	0.046585	0.04891425	0.03876537	0.04891425	0.050578	0.04957975	0.04741687
1127	1.80450322	1.8206416	1.75858372	1.7773841	1.81282197	1.84426685	1.75775185	1.76357497	1.65593035	1.65326835	1.69769047	1.6096781	1.64860985	1.92429322	1.69635947	1.73911785	1.7248096	1.79684997	1.71848735	1.8399411	1.64860985	1.8292931	1.76989722	1.71366247	1.78353997	1.82563285	1.69103547	1.88170122
1128	0.06738187	0.07021025	0.06505262	0.05873037	0.06422075	0.06937837	0.0552365	0.05889675	0.0632225	0.06205787	0.062557	0.037268	0.06904562	0.067881	0.06105962	0.05873037	0.06338887	0.05739937	0.055902	0.06288975	0.05939587	0.06954475	0.05507012	0.06605087	0.05107712	0.04758325	0.03743437	0.061226
1129	0.18251337	0.18251337	0.18151512	0.18084962	0.18267975	0.1923295	0.187671	0.20181287	0.19199675	0.18534175	0.19715437	0.13676025	0.187671	0.20447487	0.19865175	0.179685	0.19865175	0.19715437	0.20314387	0.19515787	0.1670405	0.18517537	0.1736955	0.15556062	0.171699	0.19116487	0.1816815	0.1843435
1130	0.04009637	0.04675137	0.045254	0.04209287	0.04641862	0.03676887	0.03909812	0.04891425	0.03776712	0.0352715	0.04408937	0.035937	0.04442212	0.038599	0.04342387	0.0366025	0.03760075	0.03743437	0.03843262	0.04558675	0.04009637	0.05174262	0.04342387	0.04209287	0.03493875	0.030613	0.02745187	0.0352715
1131	0.03909812	0.04076187	0.0352715	0.02811737	0.041261	0.03560425	0.0379335	0.05091075	0.02562175	0.02745187	0.03410687	0.02295975	0.03111212	0.031944	0.02495625	0.02711912	0.03111212	0.02961475	0.03011387	0.02096325	0.02379162	0.0339405	0.03094575	0.05274087	0.0259545	0.03344137	0.03294225	0.04558675
1132	0.15622612	0.14341525	0.09100712	0.14607725	0.14125237	0.11030662	0.12744325	0.11546425	0.12744325	0.12261837	0.12411575	0.07636612	0.1390895	0.14524537	0.12394937	0.12345025	0.12927337	0.13426462	0.10065687	0.10165512	0.12677775	0.12927337	0.13126987	0.158389	0.1510685	0.139755	0.1337655	0.1390895
1133	1.01106086	1.04300486	1.00590323	0.95016761	1.01272461	1.06280348	1.02287348	0.97329373	0.93153361	0.85150724	0.90990486	0.88494861	0.97279461	1.02004511	0.91090311	0.97312736	0.93386286	0.93419561	1.00673511	0.98244436	0.99375786	1.04200661	1.04816248	0.99492248	0.99808361	1.02969486	1.01155998	1.04799611
1134	0.39264499	0.39597249	0.39197949	0.38765374	0.38798649	0.37617387	0.38382712	0.41959774	0.39963274	0.37667299	0.36918612	0.33624387	0.45653299	0.39913362	0.39480787	0.40063099	0.40379212	0.39048212	0.40079737	0.42275887	0.37201449	0.37883587	0.38865199	0.35421237	0.40296024	0.36269749	0.35188312	0.37084987
1135	1.50103523	1.43232235	1.4952121	1.46310173	1.36377585	1.5724101	1.4240036	1.47092135	1.4346516	1.43298785	1.26910848	1.31802273	1.34031698	1.5158426	1.42566735	1.57856597	1.55993197	1.5031981	1.6243191	1.49820685	1.44297035	1.39971285	1.4692576	1.44147298	1.45494935	1.61932785	1.56808435	1.46825935
1136	0.49629662	0.44638412	0.45403737	0.48648049	0.40379212	0.47832812	0.45986049	0.41077987	0.45520199	0.43922999	0.39547337	0.43473787	0.46268887	0.46052599	0.43340687	0.46368712	0.45719849	0.47849449	0.48648049	0.44122649	0.49313549	0.43423874	0.49829312	0.46335437	0.46701462	0.56268024	0.53140174	0.55419512
1137	0.11197037	0.10631362	0.11546425	0.1098075	0.11413325	0.115797	0.10481625	0.10348525	0.11280225	0.10880925	0.111804	0.117128	0.1138005	0.12145375	0.12028912	0.12627862	0.12228562	0.11163762	0.11929087	0.11080575	0.1244485	0.11529787	0.12195287	0.12428212	0.11330137	0.11230312	0.12012275	0.12877425
1138	0.0632225	0.0698775	0.05889675	0.05906312	0.06105962	0.06488625	0.06288975	0.05706662	0.06272337	0.06155875	0.06139237	0.0445885	0.0632225	0.0685465	0.06655	0.06222425	0.06804737	0.058564	0.06771462	0.0565675	0.05290725	0.05373912	0.0578985	0.058564	0.06555175	0.07037662	0.07237312	0.07021025
1139	0.05906312	0.06688275	0.05956225	0.06372162	0.05889675	0.07004387	0.07137487	0.04375662	0.06471987	0.04841512	0.05340637	0.05873037	0.06422075	0.05507012	0.04026275	0.04908062	0.05507012	0.059895	0.06089325	0.05972862	0.063888	0.06821375	0.05174262	0.0445885	0.05706662	0.06688275	0.05373912	0.06937837
1140	1.51966923	1.62681472	1.67007222	1.6516046	1.55161322	1.64045747	1.64777797	1.42683198	1.64045747	1.34597373	1.5970336	1.61383747	1.58954672	1.67473072	1.57057997	1.61866235	1.5457901	1.6975241	1.58954672	1.6775591	1.50935398	1.5211666	1.6369636	1.60984447	1.72713885	1.69120185	1.66241897	1.65143822
1141	0.53056987	0.62357349	0.56184837	0.64037736	0.50894112	0.58081512	0.60061374	0.54088512	0.59695349	0.62989574	0.56268024	0.48764512	0.64370486	0.66633186	0.64719874	0.70592911	0.64786424	0.68296936	0.66583274	0.66084149	0.61259274	0.37817037	0.67997461	0.56001824	0.62723374	0.70359986	0.68346849	0.53589387
1142	0.1896675	0.1790195	0.191664	0.17452737	0.1843435	0.16404575	0.18151512	0.17303	0.17336275	0.16138375	0.16055187	0.1870055	0.1750265	0.18118237	0.17951862	0.17303	0.16338025	0.16254837	0.17352912	0.187671	0.167706	0.182347	0.16870425	0.18001775	0.18717187	0.18251337	0.169037	0.17269725
1143	0.51359962	0.49197087	0.50661187	0.50062237	0.50012324	0.50877474	0.52491312	0.52624412	0.47732987	0.47599887	0.51659437	0.50478174	0.50761012	0.51759262	0.49263637	0.52557862	0.50577999	0.55652437	0.52541224	0.50561362	0.46701462	0.48298662	0.48465037	0.42708462	0.53838949	0.52291662	0.47383599	0.48531587
1144	0.79094674	0.78013236	0.81889774	0.78528999	0.78645461	0.81640211	0.81723399	0.79377511	0.79527249	0.75268049	0.83387149	0.77098174	0.72456311	0.82322349	0.84535136	0.82056149	0.78029874	0.78296074	0.85999236	0.79211136	0.84152474	0.76382761	0.76998349	0.75417786	0.75750536	0.80858249	0.80641961	0.78761924
1145	0.41477287	0.45703212	0.43789899	0.42591999	0.44621774	0.46019324	0.45087624	0.40445762	0.42076237	0.38133149	0.44704962	0.42408987	0.43390599	0.43956274	0.40978162	0.41793399	0.39830174	0.40246112	0.43839812	0.38515812	0.45520199	0.44022824	0.44239112	0.48498312	0.41943137	0.42225974	0.49330187	0.48681324
1146	0.49113899	0.46501812	0.48847699	0.43174312	0.44089374	0.48964162	0.46801287	0.48248749	0.47267137	0.51160312	0.46984299	0.48481674	0.48814424	0.50411624	0.47350324	0.48465037	0.47716349	0.47383599	0.52341574	0.53073624	0.50444899	0.50428262	0.47317049	0.48831062	0.49080624	0.46551724	0.43939637	0.45736487
1147	5.30885979	5.41001579	5.58504228	5.16827292	5.49702991	5.66673241	5.35344829	5.58853616	5.95522665	5.26942891	5.45277416	4.91405192	5.48904391	5.58238028	5.61798453	5.41118041	5.31035716	5.56224891	5.55010353	6.01196053	5.65059403	5.72379903	5.54893891	5.46591779	5.62763428	4.94865792	4.78744055	5.04182792
1148	1.7327956	1.56808435	1.75459072	1.26245348	1.49471298	1.58205985	1.94076434	1.31170048	1.3820771	2.13941609	1.59187597	1.62481822	1.34031698	1.67839097	1.45511573	1.29323285	1.88136847	1.39172685	1.61001085	1.75043135	1.16562323	1.6136711	1.48539598	1.88436322	1.21553573	2.26170171	1.79435435	1.91480984
1149	0.17386187	0.19332775	0.18284612	0.20996525	0.20064825	0.19549062	0.21345912	0.24274112	0.20014912	0.20197925	0.17669025	0.20314387	0.21379187	0.20746962	0.17669025	0.198319	0.18783737	0.19000025	0.17818762	0.2096325	0.17885312	0.18184787	0.19815262	0.19748712	0.2109635	0.2216115	0.1790195	0.17419462
1150	0.0326095	0.034606	0.03011387	0.03643612	0.02828375	0.03710162	0.03277587	0.02478987	0.03477237	0.03643612	0.03427325	0.03161125	0.02978112	0.0366025	0.03826625	0.03211037	0.0379335	0.0405955	0.0366025	0.02445712	0.03427325	0.03211037	0.0352715	0.029282	0.03543787	0.034606	0.03626975	0.03443962
1151	0.37301274	0.37817037	0.38199699	0.40795149	0.38000049	0.36802149	0.37534199	0.38083237	0.37035074	0.40845062	0.40029824	0.42458899	0.36153287	0.36752237	0.38965024	0.38499174	0.38549087	0.36585862	0.38266249	0.30796012	0.39081487	0.38049962	0.39580612	0.34522812	0.39663799	0.37750487	0.35936999	0.33574474
1152	0.70077149	0.70809199	0.60394124	0.50062237	0.54304799	0.69494836	0.65285549	0.43440512	0.63322324	0.64952799	0.67065761	0.64736511	0.66433536	0.63621799	0.60710237	0.53056987	0.58830199	0.66200611	0.63189224	0.56683962	0.47267137	0.64719874	0.66000961	0.75051761	0.52424762	0.46684824	0.56833699	0.71474699
1153	0.48631412	0.48664687	0.45919499	0.49280274	0.52591137	0.48082374	0.45669937	0.50993937	0.48099012	0.42958024	0.45769762	0.49945774	0.50960662	0.48831062	0.46535087	0.47483424	0.44305662	0.48032462	0.44322299	0.55369599	0.49430012	0.46784649	0.48548224	0.47300412	0.49796037	0.50627912	0.49613024	0.49945774
1154	0.08069187	0.08019275	0.08035912	0.08069187	0.0805255	0.07287225	0.071874	0.08202287	0.075867	0.06887925	0.07287225	0.08002637	0.07686525	0.07836262	0.067881	0.086515	0.07969362	0.07902812	0.07669887	0.0858495	0.06288975	0.07420325	0.08218925	0.06555175	0.07603337	0.0738705	0.077198	0.07802987
1155	0.113135	0.10964112	0.10132237	0.0978285	0.09932587	0.098494	0.1138005	0.10198787	0.09466737	0.10481625	0.10431712	0.12162012	0.10365162	0.11163762	0.09699662	0.101156	0.11396687	0.10747825	0.105149	0.1004905	0.09766212	0.09965862	0.09683025	0.11230312	0.09533287	0.10997387	0.103818	0.10132237
1156	0.14474625	0.12295112	0.127776	0.14324887	0.13260087	0.14424712	0.1297725	0.10747825	0.12278475	0.11929087	0.12544675	0.11696162	0.12394937	0.11829262	0.12894062	0.11429962	0.13143625	0.1244485	0.1111385	0.11995637	0.1217865	0.13526287	0.1350965	0.15223312	0.13892312	0.11795987	0.1151315	0.12661137
1157	0.43091124	0.43573612	0.46185699	0.45337187	0.45952774	0.44821424	0.46518449	0.41643662	0.47899362	0.46119149	0.50661187	0.45187449	0.46418624	0.50078874	0.45570112	0.47965912	0.47949274	0.49812674	0.48448399	0.49130537	0.45919499	0.44704962	0.44921249	0.46768012	0.47866087	0.48298662	0.44754874	0.42675187
1158	0.091839	0.08967612	0.08834512	0.08684775	0.09416825	0.0911735	0.08867787	0.08535037	0.07936087	0.08102462	0.07636612	0.07753075	0.081191	0.09200537	0.0871805	0.08268837	0.07819625	0.083853	0.08535037	0.07536787	0.09084075	0.08551675	0.08901062	0.0978285	0.09017525	0.087846	0.08801237	0.10032412
1159	0.01946587	0.01613837	0.01963225	0.02362525	0.01846762	0.01963225	0.0179685	0.018634	0.01746937	0.01763575	0.01214537	0.01746937	0.01547287	0.0179685	0.01763575	0.02212787	0.021296	0.0219615	0.01314362	0.0219615	0.01880037	0.01480737	0.01713662	0.01630475	0.02162875	0.0192995	0.02212787	0.0153065
1160	0.24789875	0.23808262	0.24141012	0.227601	0.22477262	0.25405462	0.23275862	0.23974637	0.220946	0.21279362	0.22726825	0.21944862	0.22743462	0.24257475	0.23209312	0.22726825	0.2402455	0.24141012	0.23259225	0.27668162	0.22344162	0.24274112	0.24240837	0.1856745	0.250228	0.24590225	0.23392325	0.2189495
1161	0.3067955	0.23508787	0.2469005	0.1909985	0.24540312	0.25571837	0.28450125	0.190333	0.21928225	0.37517562	0.26919475	0.30313525	0.26137512	0.32143649	0.2495625	0.25638387	0.29298637	0.30363437	0.24257475	0.29232087	0.18783737	0.28832787	0.27268862	0.35587612	0.18800375	0.27701437	0.2562175	0.30629637
1162	1.03385423	0.93386286	0.97179636	0.97861773	1.03285598	0.98377536	0.98543911	1.05381923	0.99409061	0.91539524	0.98094698	0.87679624	0.98860023	1.00956348	0.91439699	0.91373149	1.00157748	0.94500998	0.99458973	0.94085061	0.92138474	0.91838999	0.99275961	0.92321486	0.99475611	1.05930961	1.10289986	1.06130611
1163	0.61625299	0.65684849	0.62174336	0.62074511	0.69960686	0.66233886	0.65784674	0.68779424	0.62723374	0.61808311	0.58880112	0.67864361	0.65185724	0.66183974	0.62307436	0.61309187	0.62174336	0.61508837	0.63072761	0.58414262	0.63904636	0.62290799	0.66200611	0.65352099	0.64819699	0.69544749	0.64736511	0.69944049
1164	0.07037662	0.0752015	0.07004387	0.06871287	0.07536787	0.07969362	0.07686525	0.07619975	0.06488625	0.06422075	0.0712085	0.07753075	0.06771462	0.07220675	0.06571812	0.07353775	0.07021025	0.071874	0.07869537	0.06105962	0.0725395	0.06305612	0.069212	0.06438712	0.07037662	0.07686525	0.08435212	0.07436962
1165	0.05157625	0.042592	0.04292475	0.038599	0.05041162	0.04425575	0.04974612	0.04475487	0.04042912	0.05340637	0.042592	0.03610337	0.0472505	0.0472505	0.04275837	0.03826625	0.03893175	0.0459195	0.03826625	0.0419265	0.05307362	0.04042912	0.04608587	0.05074437	0.04092825	0.05207537	0.03893175	0.049247
1166	0.77181361	0.71757536	0.74985211	0.78911661	0.79327599	0.72140199	0.74902024	0.72206749	0.77081536	0.75850361	0.72123561	0.71507974	0.70576274	0.76282936	0.76848611	0.75401149	0.82106061	0.73304824	0.72655961	0.70809199	0.78296074	0.75317961	0.77514111	0.76881886	0.80475586	0.83553524	0.77214636	0.81224274
