ROI	N51211	N51221	N51231	N51383	N51386	N51404	N51406	N51193	N51136	N51201	N51234	N51241	N51252	N51282	N51390	N51392	N51393	N51133	N51388	N51124	N51130	N51131	N51164	N51182	N51151	N51622	N51620	N51617
144	0.80791699	0.81024624	0.79577161	0.80824974	0.81507111	0.86548274	0.85333736	0.83120949	0.79194499	0.79893274	0.76465949	0.67148949	0.76632324	0.81656849	0.87280324	0.80908161	0.79161224	0.78395899	0.93685761	0.71873999	0.74569274	0.79310961	0.76549136	0.77114811	0.75068399	0.89792586	0.82871386	0.86282074
145	0.40828424	0.42725099	0.41710212	0.41211087	0.41310912	0.43324049	0.44588499	0.39131399	0.41543837	0.41028074	0.42808287	0.45836312	0.41577112	0.42908112	0.40595499	0.37783762	0.39530699	0.39580612	0.40212837	0.38066599	0.40628774	0.42991299	0.41161174	0.43407237	0.41826674	0.42542087	0.41077987	0.43290774
146	0.49014074	0.48282024	0.49280274	0.45370462	0.46951024	0.49080624	0.44272387	0.52641049	0.48847699	0.51609524	0.47267137	0.46302162	0.50311799	0.53223362	0.49430012	0.48731237	0.50528087	0.50794287	0.54254887	0.54454537	0.51476424	0.46834562	0.49363462	0.49945774	0.49479924	0.50062237	0.49330187	0.48182199
147	5.26027829	5.37075129	5.49253779	5.19722217	5.29754629	5.57489341	5.17675804	5.71947328	5.86006015	5.53130316	5.61748541	4.62688867	5.58687241	5.67305466	5.72513003	5.25794904	5.33681079	5.44828204	5.51300191	5.70316853	5.45427154	5.26277391	5.26393854	5.58703878	5.50451679	4.94682779	4.70741417	4.8529923
148	1.56924897	1.8346171	1.69586035	1.81215647	1.79718272	1.66058885	1.94209534	1.33366198	1.38690198	2.38548471	1.55726997	1.71050135	1.41501935	1.92379409	1.60352222	1.3973836	1.93860147	1.63995835	1.46210348	1.93211284	1.24348673	1.69502847	2.01979247	2.31810284	1.48473048	2.13076459	1.97387297	2.16470509
149	0.20347662	0.211629	0.19382687	0.23259225	0.222277	0.21112987	0.1989845	0.22543812	0.20214562	0.2202805	0.177023	0.1670405	0.210298	0.192995	0.23275862	0.20713687	0.19266225	0.20264475	0.18750462	0.17186537	0.20197925	0.21112987	0.24107737	0.22909837	0.21146262	0.20214562	0.19349412	0.20680412
150	0.03244312	0.03560425	0.03427325	0.03294225	0.03344137	0.03310862	0.0339405	0.02778462	0.0419265	0.03477237	0.03294225	0.03028025	0.03427325	0.03809987	0.03626975	0.03443962	0.03560425	0.03244312	0.03610337	0.02695275	0.03377412	0.0392645	0.03493875	0.0366025	0.03693525	0.02878287	0.03610337	0.03377412
151	0.35371324	0.37667299	0.36735599	0.38415987	0.38000049	0.36852062	0.38366074	0.43640162	0.36003549	0.41493924	0.40495674	0.46318799	0.34639274	0.37467649	0.37983412	0.42176062	0.36120012	0.38482537	0.37600749	0.34905474	0.44721599	0.35654162	0.36186562	0.31544699	0.36585862	0.39580612	0.37883587	0.36336299
152	0.65951049	0.67415149	0.61708486	0.52524587	0.57299549	0.67548249	0.63056124	0.47450149	0.68463311	0.62723374	0.66999211	0.62357349	0.65035986	0.64021099	0.55885362	0.54670824	0.57382737	0.60460674	0.62141061	0.59978187	0.48148924	0.61109537	0.65152449	0.73837224	0.49679574	0.49197087	0.60943162	0.69744399
153	0.47433512	0.49979049	0.49446649	0.47533337	0.48581499	0.48132287	0.48747874	0.49296912	0.50028962	0.43789899	0.46102512	0.41394099	0.48415124	0.53855587	0.45819674	0.47649799	0.48731237	0.47250499	0.45137537	0.51559612	0.45686574	0.44754874	0.51276774	0.43157674	0.50211974	0.49263637	0.47450149	0.47383599
154	0.08867787	0.07902812	0.07636612	0.07936087	0.08035912	0.08368662	0.085184	0.0778635	0.07204037	0.05906312	0.06239062	0.07869537	0.0778635	0.0805255	0.06954475	0.07270587	0.07753075	0.0685465	0.06488625	0.078529	0.069212	0.07636612	0.070543	0.08169012	0.07769712	0.08884425	0.08019275	0.08152375
155	0.1018215	0.09899312	0.09017525	0.11612975	0.1044835	0.09766212	0.10531537	0.10032412	0.09333637	0.10348525	0.0964975	0.13792487	0.0991595	0.11147125	0.10165512	0.09999137	0.109142	0.10065687	0.09999137	0.087846	0.08934337	0.10614725	0.09766212	0.11679525	0.10132237	0.10132237	0.10398437	0.1084765
156	0.1417515	0.13809125	0.131769	0.13409825	0.14125237	0.15140125	0.12894062	0.12095462	0.12727687	0.11197037	0.130438	0.12677775	0.13875675	0.12860787	0.12345025	0.12827512	0.14075325	0.12145375	0.11479875	0.10947475	0.11696162	0.143748	0.12810875	0.14624362	0.1350965	0.14408075	0.130438	0.129107
157	0.43756624	0.45852949	0.45353824	0.46967662	0.45320549	0.46401987	0.46901112	0.43640162	0.46368712	0.46684824	0.49829312	0.46451899	0.47134037	0.49895862	0.44804787	0.49330187	0.46934387	0.49014074	0.49762762	0.47050849	0.45886224	0.44821424	0.44854699	0.45137537	0.46884474	0.47150674	0.45753124	0.45070987
158	0.08152375	0.08668137	0.07436962	0.08218925	0.08085825	0.07486875	0.08418575	0.085184	0.07503512	0.081191	0.06838012	0.07636612	0.06804737	0.08035912	0.0712085	0.0672155	0.07037662	0.0738705	0.07303862	0.06072687	0.0765325	0.0698775	0.08767962	0.069212	0.086515	0.09000887	0.07802987	0.0858495
159	0.02146237	0.0153065	0.01713662	0.0232925	0.01630475	0.01813487	0.01780212	0.02079687	0.0179685	0.018634	0.01630475	0.02096325	0.01680387	0.01680387	0.01713662	0.018634	0.01563925	0.01846762	0.01979862	0.01347637	0.01746937	0.01713662	0.01630475	0.01680387	0.01913312	0.017303	0.01946587	0.019965
160	0.24174287	0.24473762	0.26337162	0.25105987	0.236918	0.2761825	0.24906337	0.255552	0.246235	0.22909837	0.23126125	0.23774987	0.23958	0.27035937	0.2256045	0.2522245	0.24124375	0.25838037	0.2375835	0.26902837	0.22976387	0.2522245	0.2628725	0.21994775	0.26170787	0.26503537	0.2535555	0.23109487
161	0.28450125	0.246235	0.270193	0.21296	0.26503537	0.27318775	0.28849425	0.192995	0.23275862	0.33241724	0.25704937	0.28583225	0.2415765	0.26919475	0.26187425	0.25122625	0.2628725	0.28167287	0.24324025	0.295482	0.19049937	0.28100737	0.25838037	0.33491287	0.21645387	0.27568337	0.2721895	0.28732962
162	1.02437086	0.98244436	1.01488748	0.98726923	0.99026398	0.99841636	1.01888048	1.09874048	0.98843386	0.97795223	1.01538661	0.87746174	0.99176136	1.02370536	0.96148111	0.99059673	0.98876661	0.98677011	1.02769836	0.99458973	0.96630598	0.95698898	0.98227798	0.92770698	1.05930961	1.07345148	1.04067561	0.99442336
163	0.64902886	0.63887999	0.65551749	0.63871361	0.67365236	0.64636686	0.68629686	0.63039486	0.60943162	0.58164699	0.59528974	0.62690099	0.61791674	0.63804811	0.61192724	0.61292549	0.60277662	0.60344212	0.64470311	0.58547362	0.65817949	0.64403761	0.63704986	0.61126174	0.64736511	0.66832836	0.65202361	0.66566636
164	0.07353775	0.07819625	0.07287225	0.07021025	0.08085825	0.07952725	0.0818565	0.08535037	0.0672155	0.05739937	0.06904562	0.06338887	0.06937837	0.08152375	0.07004387	0.06838012	0.07503512	0.0645535	0.07753075	0.04708412	0.06821375	0.06072687	0.07886175	0.07170762	0.071874	0.0805255	0.08634862	0.082522
165	0.05706662	0.0592295	0.049247	0.06172512	0.05906312	0.05889675	0.0525745	0.0539055	0.04375662	0.06272337	0.0565675	0.03909812	0.05307362	0.04808237	0.06555175	0.05074437	0.04608587	0.06205787	0.05140987	0.05357275	0.05606837	0.050578	0.0552365	0.05290725	0.0445885	0.05440462	0.0525745	0.0565675
166	0.76715511	0.77564024	0.76416036	0.83087674	0.80076286	0.76848611	0.77081536	0.76648961	0.76416036	0.80176111	0.75683986	0.68779424	0.72955436	0.76465949	0.80941436	0.79011486	0.85566661	0.75001849	0.76000099	0.65651574	0.75983461	0.72988711	0.78063149	0.71141949	0.82222524	0.74985211	0.78811836	0.77497474
1001	0.67265411	0.72672599	0.68563136	0.66533361	0.70276799	0.71092036	0.73238274	0.74219886	0.67614799	0.67648074	0.71890636	0.67148949	0.63871361	0.70476449	0.74735649	0.71624436	0.72156836	0.70110424	0.72905524	0.65551749	0.72822336	0.67498336	0.71824086	0.71092036	0.70443174	0.65768036	0.76183111	0.69211999
1002	0.34489537	0.34805649	0.33824037	0.30845924	0.34389712	0.32359937	0.32875699	0.30945749	0.30197062	0.30646275	0.32459762	0.26253975	0.27934362	0.32792512	0.33075349	0.34323162	0.33108624	0.33724212	0.31594612	0.32576224	0.33690937	0.30945749	0.34306524	0.36452762	0.33940499	0.28599862	0.33324912	0.30396712
1003	0.60310937	0.62673461	0.64503586	0.69594661	0.69195361	0.65235636	0.60926524	0.71507974	0.57981687	0.67831086	0.64570136	0.43656799	0.56717237	0.58231249	0.58397624	0.62606911	0.64969436	0.60394124	0.61176087	0.57981687	0.61525474	0.56517587	0.59412512	0.73421286	0.61342462	0.62357349	0.62923024	0.76149836
1004	0.243573	0.26037687	0.23575337	0.25605112	0.2322595	0.22943112	0.222277	0.26337162	0.185009	0.23059575	0.24107737	0.14790737	0.21811762	0.2229425	0.2375835	0.25521925	0.2588795	0.25172537	0.21728575	0.19682162	0.202312	0.22327525	0.23392325	0.30380075	0.22643637	0.24922975	0.20414212	0.25405462
1005	0.2708585	0.25305637	0.23176037	0.25239087	0.26436987	0.24673412	0.2854995	0.223608	0.21578837	0.21662025	0.267531	0.22776737	0.26836287	0.27934362	0.23342412	0.21778487	0.22510537	0.26387075	0.24340662	0.24473762	0.24806512	0.25971137	0.2761825	0.26836287	0.28849425	0.32060462	0.31461512	0.31943999
1006	0.19582337	0.17286362	0.17868675	0.17752212	0.17352912	0.15289862	0.19249587	0.17652387	0.1577235	0.1856745	0.18783737	0.18001775	0.19748712	0.18800375	0.17802125	0.15689162	0.17319637	0.183678	0.18983387	0.17153262	0.18001775	0.16521037	0.183678	0.20780237	0.189002	0.17535925	0.181016	0.19798625
1007	0.94717286	0.87995736	0.85500111	0.84601686	0.98211161	0.80092924	0.90624461	0.87945824	0.79726899	0.84734786	0.92554411	0.71957186	0.83620074	0.95465973	0.84718149	0.89060536	0.91922186	0.84817974	0.82322349	0.91240049	0.90258436	0.91206774	0.97645486	0.92637598	1.03285598	0.91323236	0.93835498	0.91855636
1008	1.54628922	1.49504573	1.51151685	1.12885436	1.21170911	0.91938824	1.43881098	1.51417885	1.37459023	1.5877166	1.52965173	1.5145116	1.51417885	1.60668335	1.52332948	1.63197235	1.61267285	1.5378041	1.53996697	1.49621035	1.50286535	1.56325947	1.58888122	1.50602648	1.44413498	1.3574536	1.4865606	1.48905623
1009	0.87912549	0.98843386	0.88295211	0.97545661	0.99592073	1.03468611	0.99475611	1.22119248	1.00740061	1.09241823	0.91606074	0.82305711	0.97895048	0.88927436	0.89559661	0.92338123	0.98926573	0.85350374	0.94700648	0.81440561	0.91922186	0.78845111	0.92687511	1.01472111	0.86864386	0.92903798	0.94500998	1.05864411
1010	0.68163836	0.72173474	0.71740899	0.77663849	0.74103424	0.69078899	0.70077149	0.73454561	0.77364374	0.78811836	0.71008849	0.77247911	0.77064899	0.67897636	0.75401149	0.77148086	0.74452811	0.76282936	0.72888886	0.79743536	0.73571024	0.74303074	0.71441424	0.69578024	0.76582411	0.70709374	0.64653324	0.63488699
1011	0.78662099	0.74120061	0.82006236	0.78878386	0.78212886	0.70875749	0.73471199	0.82405536	0.80492224	0.81972961	0.81307461	0.84817974	0.76432674	0.72672599	0.76465949	0.84585049	0.84851249	0.85450199	0.82072786	0.81740036	0.76282936	0.79926549	0.78013236	0.69993961	0.79144586	0.74419536	0.70809199	0.68064011
1012	0.72655961	0.71208499	0.75134949	0.78462449	0.72023736	0.76715511	0.72506224	0.84984349	0.77331099	0.79044761	0.80824974	0.82388899	0.81024624	0.75068399	0.88395036	0.77863499	0.82738286	0.77314461	0.78495724	0.94118336	0.78978211	0.76965074	0.70459811	0.73754036	0.81240911	0.71358236	0.64403761	0.64703236
1013	0.25205812	0.27501787	0.22926475	0.23958	0.24656775	0.25105987	0.248897	0.29997412	0.25904587	0.30929112	0.26187425	0.251559	0.24457125	0.27535062	0.28932612	0.26536812	0.28766237	0.25804762	0.2721895	0.35155037	0.36702324	0.267531	0.23508787	0.2415765	0.23542062	0.223608	0.2043085	0.236918
1014	0.50428262	0.51210224	0.48165562	0.48564862	0.47716349	0.51326687	0.51443149	0.49912499	0.53655937	0.53855587	0.56434399	0.49729487	0.49962412	0.52890612	0.55020212	0.53739124	0.54604274	0.55369599	0.54704099	0.53273274	0.51110399	0.52740874	0.52557862	0.49895862	0.53090262	0.51676074	0.49413374	0.50694462
1015	3.63063519	3.66391019	3.74859506	3.52066132	3.52066132	3.73445319	3.79384906	3.51433907	3.83228169	3.70816594	3.34230732	3.44496069	3.55343719	3.92528531	3.52881369	3.75175619	3.74227281	3.83477731	4.01046931	3.72280694	3.46243007	3.53779794	3.49853344	3.2719307	3.55676469	3.56990832	3.96488256	3.68171232
1016	3.30570482	3.24148407	3.23882207	3.41667694	3.32101132	3.43581007	3.37258757	3.44579257	3.56891007	3.71415544	3.60884007	3.56524982	3.44013582	3.3677627	3.64843732	3.47723744	3.74360381	3.23349807	3.59270169	3.66673857	3.89101206	3.51550369	3.3411427	3.52898007	3.56658082	3.27276257	2.9524907	3.1394962
1017	1.46110523	1.49737498	1.47641173	1.44180573	1.42649923	1.45212098	1.5005361	1.56941535	1.53480935	1.43448523	1.46759385	1.49754135	1.39305785	1.5378041	1.53480935	1.53896872	1.53763773	1.54728747	1.57407385	1.5963681	1.55743635	1.48639423	1.35662173	1.39289148	1.40037835	1.35495798	1.3454746	1.4572786
1018	0.11147125	0.1071455	0.10198787	0.09932587	0.10481625	0.06555175	0.1111385	0.10897562	0.11346775	0.12062187	0.1191245	0.10997387	0.11213675	0.11097212	0.10997387	0.12627862	0.11612975	0.12228562	0.11563062	0.10631362	0.12611225	0.10298612	0.097163	0.12478125	0.107811	0.10148875	0.11929087	0.11130487
1019	3.83594194	3.83677381	3.91929581	3.74293831	3.77388406	3.58338469	3.86655494	4.27151168	4.18466393	3.94741319	4.10413843	3.81647606	3.83045156	4.06237831	3.90232556	4.16453256	3.99915581	4.15604743	4.31626655	4.37499693	3.93044294	3.91031156	3.94109094	3.85723794	4.01745706	3.73911169	4.12293881	3.89783344
1020	3.32949645	3.35744745	3.57440044	3.38789407	3.55243894	3.34862957	3.43065244	3.86672131	3.45860344	3.46292919	3.52864732	3.64194869	3.50186094	3.59952307	3.40636169	3.54861232	3.50951419	3.72380519	3.80865644	3.69019744	3.3231742	3.27758745	3.52981194	3.64810457	3.41401494	3.38207095	3.60301694	3.59303444
1021	0.70276799	0.76499224	0.72739149	0.75484336	0.66217249	0.76465949	0.72389761	0.77081536	0.67498336	0.65335461	0.69345099	0.73354736	0.66949299	0.70010599	0.62740011	0.70759286	0.72705874	0.66666461	0.80442311	0.72639324	0.69877499	0.65701486	0.72423036	0.74768924	0.70027236	0.64603411	0.70143699	0.60643687
1022	0.23192675	0.25305637	0.26520175	0.189002	0.19149762	0.12478125	0.23458875	0.26453625	0.27468512	0.25122625	0.27535062	0.28450125	0.27568337	0.26653275	0.250228	0.28716325	0.29132262	0.28117375	0.26204062	0.296813	0.24124375	0.25072712	0.22676912	0.25438737	0.26104237	0.21678662	0.25472012	0.25289
1023	0.05490375	0.06022775	0.05739937	0.05906312	0.05889675	0.04042912	0.05873037	0.0578985	0.0605605	0.06155875	0.05706662	0.05407187	0.0512435	0.070543	0.04974612	0.07137487	0.0605605	0.05423825	0.05956225	0.051909	0.05623475	0.05490375	0.05340637	0.06172512	0.0632225	0.05606837	0.06072687	0.06105962
1024	0.45120899	0.42109512	0.40861699	0.43606887	0.45536837	0.38632274	0.41926499	0.38831924	0.42575362	0.45886224	0.43157674	0.45021074	0.41394099	0.42309162	0.38698824	0.43423874	0.41726849	0.43373962	0.42076237	0.43107762	0.41161174	0.42725099	0.43556974	0.42691824	0.40811787	0.42458899	0.38682187	0.42824924
1025	4.4124313	4.38331568	4.36268518	4.52124055	4.40877105	4.28232606	4.19880581	4.76331617	4.6180708	4.81023392	4.7332023	4.26136281	4.36800918	4.59161718	4.53571518	4.59228268	4.61590792	4.50194105	4.65051392	4.72937567	4.42540855	4.57181855	4.14872693	4.58645955	4.39546105	4.32159055	4.30378843	4.15022431
1026	0.77131449	0.76865249	0.77480836	0.78296074	0.74685736	0.73471199	0.73620936	0.83437061	0.85733036	0.75950186	0.85167361	0.74003599	0.86082424	0.77247911	0.80974711	0.82106061	0.89459836	0.83303961	0.90008874	0.91156861	0.78795199	0.77164724	0.76449311	0.75933549	0.77979961	0.75101674	0.75018486	0.71441424
1027	1.76191122	1.92495872	1.92462597	2.01796234	1.98169259	1.97320747	1.96039659	2.11745459	1.99566809	2.02661384	2.20779621	2.03177147	2.01297109	2.01064184	2.07519534	2.08135122	2.10497647	2.03509897	2.17319021	2.30845309	2.04807622	2.03243697	1.93510759	2.01080822	1.96172759	2.02079072	1.95740184	1.92828622
1028	1.5244941	1.53680585	1.5764031	1.5284871	1.56425772	1.3295026	1.55560622	1.66474822	1.69452935	1.62864485	1.66341722	1.53946785	1.6482771	1.6176641	1.59886372	1.68171847	1.64445047	1.75991472	1.71000222	1.85042272	1.59919647	1.62781297	1.61134185	1.6981896	1.6223226	1.5757376	1.6323051	1.57157822
1029	1.6735661	1.7101686	1.57523847	1.52765523	1.5690826	1.7088376	1.68670972	1.73246285	1.72248035	1.69935422	1.91464347	1.68171847	1.76024747	1.63263785	1.80051022	1.75525622	1.86473097	1.79967835	1.83162235	1.77505485	1.62132435	1.71732272	1.70118435	1.51417885	1.63247147	1.60585147	1.67705997	1.5717446
